iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__bootstrap,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,818,0.8589653968811035,0.04882696613132378,0.054190635681152344,0.00538240899114938,True,gini,,sqrt,1,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.44262247968667245,0.49925136032966944,0.5130179608391612,0.4684888087092508,0.4764829857216522,0.4799727190572812,0.024506133233986586,217,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,1.5778022289276123,0.20381562901896344,0.10482292175292969,0.01961479902292828,True,gini,,sqrt,1,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.432866478765736,0.5233312690367905,0.5186352320805926,0.4660929062516937,0.488728298918009,0.48593083701056433,0.03372110667963816,200,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,0.9541140079498291,0.06842464058898425,0.0511873722076416,0.008053462303725306,True,gini,,sqrt,1,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4847109754819302,0.5205202524422351,0.5502832462875141,0.45901122201735706,0.5342638243379254,0.5097579041133924,0.03335040030811565,140,0.9411772931129723,0.9406811447426239,0.9431378451460687,0.9362433985164664,0.9239131103264514,0.9370305583689167,0.006935534665300373
0,818,1.6506538391113281,0.11162143268402742,0.12840619087219238,0.014580484992591368,True,gini,,sqrt,1,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4694381307935221,0.5215013373455624,0.5456416044759603,0.4387377538663321,0.5455335803534783,0.5041704813669711,0.04293925146801943,150,0.9445162838939034,0.936595588415649,0.9431411758651654,0.9302004321482631,0.9206804178948066,0.9350267796435574,0.008803033607721006
0,818,0.8239604949951171,0.07775300126875394,0.06964082717895508,0.00784560382718207,True,gini,,sqrt,3,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.4945664735315535,0.49797600981792733,0.5304622740660604,0.4325891336438464,0.48824822717410266,0.48876842364669804,0.03166435667419964,194,0.8608094030171287,0.849638359946361,0.8483755162723472,0.8460063987132479,0.8516982428995149,0.8513055841697199,0.005097510265976916
0,818,1.4924964427947998,0.1064682706221148,0.11088595390319825,0.019538170821053243,True,gini,,sqrt,3,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.4685628845904919,0.4964079740352393,0.5403226611211137,0.42840954558976907,0.4960855808383522,0.48595772923499325,0.036828523930611264,199,0.8532892143395294,0.8493998649742126,0.8502663930772363,0.8456154499563799,0.8457660046120189,0.8488673853918755,0.002897825911607193
0,818,0.8089730262756347,0.05642281232854302,0.06943902969360352,0.007822747886250644,True,gini,,sqrt,3,10,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.5025124780666044,0.504106230842661,0.5224635279930727,0.4300812600088656,0.5056083796597387,0.49295437531418856,0.03224798832781045,185,0.8016131681682038,0.7996556493970942,0.7960552824839031,0.7983687779244074,0.8014352671049569,0.7994256290157131,0.0020665455302483807
0,818,1.402986764907837,0.14575666890454173,0.1318392276763916,0.007130064205821947,True,gini,,sqrt,3,10,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.5019144705411455,0.4994266674958385,0.5192138283524634,0.43510623193613923,0.5199669388388268,0.4951256274328827,0.0311905349363407,176,0.7988477571401904,0.8018897325815585,0.8026951831038077,0.8058647616968875,0.7928490144464121,0.8004292897937713,0.004399394056334513
0,818,0.6942283153533936,0.03939296965935381,0.07168397903442383,0.007914608191107907,True,gini,,log2,1,2,500,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'pca__n_components': None}",0.43255389711418285,0.5043414696605958,0.5178475094126399,0.4480340659972875,0.5397221361485517,0.48849981566665157,0.0412392869579622,195,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,818,1.4463364601135253,0.08119268550417588,0.16428136825561523,0.04249615434737466,True,gini,,log2,1,2,1000,,"{'classifier__bootstrap': True, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'pca__n_components': None}",0.43776061632182295,0.5116207456131368,0.5257947251682593,0.4355539961764097,0.5287193188530283,0.4878898804265314,0.04223496693391432,197,1.0,1.0,1.0,1.0,1.0,1.0,0.0
